scope,price_band,model,row_count,r2,mae,rmse,mape,mdape,within_10_pct,within_20_pct,mean_signed_pct_error
overall,All prices,Linear Regression,12774,0.743444,300841.352040,497769.028160,0.311952,0.196664,0.283310,0.506498,0.007725
overall,All prices,Decision Tree,12774,0.741185,260192.695621,499956.213280,0.198974,0.146076,0.365586,0.633318,0.030413
overall,All prices,Random Forest,12774,0.853978,186746.494801,375530.676832,0.148292,0.096779,0.511038,0.763426,0.045838
overall,All prices,CatBoost,12774,0.849334,192516.301995,381456.610757,0.149741,0.102554,0.491076,0.768671,0.026165
price_band,$50K-$500K,Linear Regression,1760,-13.646503,270873.940030,329935.309737,0.795453,0.648421,0.079545,0.162500,-0.368958
price_band,$50K-$500K,Decision Tree,1760,-1.412398,95501.703960,133901.753997,0.297771,0.179943,0.306250,0.542045,0.262688
price_band,$50K-$500K,Random Forest,1760,-0.790014,78317.763996,115342.680449,0.255801,0.132434,0.415909,0.631250,0.239200
price_band,$50K-$500K,CatBoost,1760,-0.579597,71080.503265,108351.519275,0.225801,0.114142,0.455682,0.695455,0.155102
price_band,$500K-$1M,Linear Regression,5312,-2.890904,197311.484563,275841.547005,0.274053,0.200360,0.276544,0.499247,0.083307
price_band,$500K-$1M,Decision Tree,5312,-0.620139,124808.803410,177996.114747,0.168760,0.119812,0.429405,0.703878,0.075239
price_band,$500K-$1M,Random Forest,5312,0.126854,89410.811307,130670.622966,0.122427,0.078531,0.588102,0.810053,0.073010
price_band,$500K-$1M,CatBoost,5312,0.089126,91026.944523,133463.819508,0.123756,0.087355,0.560241,0.829066,0.043681
price_band,$1M-$2M,Linear Regression,3987,-0.885182,270573.610735,370100.470795,0.199745,0.144684,0.365438,0.633559,0.129428
price_band,$1M-$2M,Decision Tree,3987,-0.453273,238252.543975,324950.031996,0.168241,0.136119,0.381490,0.677452,-0.030529
price_band,$1M-$2M,Random Forest,3987,0.224389,168294.417380,237391.330229,0.120182,0.091828,0.532481,0.827941,0.002262
price_band,$1M-$2M,CatBoost,3987,0.001221,192044.779961,269387.584713,0.136808,0.105614,0.479057,0.782042,0.005184
price_band,$2M-$5M,Linear Regression,1540,0.052222,518890.775325,696407.183806,0.170571,0.145806,0.357792,0.648052,-0.091212
price_band,$2M-$5M,Decision Tree,1540,-0.710709,739233.245774,935616.826125,0.250146,0.231503,0.202597,0.427922,-0.189024
price_band,$2M-$5M,Random Forest,1540,0.125715,506117.146195,668862.024383,0.170942,0.147989,0.343506,0.642208,-0.117649
price_band,$2M-$5M,CatBoost,1540,0.116658,501945.296008,672317.643275,0.170726,0.146318,0.366234,0.655195,-0.092765
price_band,$5M+,Linear Regression,175,-7.926971,2515553.774286,2700585.462121,0.400270,0.403096,0.011429,0.045714,-0.400270
price_band,$5M+,Decision Tree,175,-7.561180,2310297.370612,2644677.224326,0.372353,0.360943,0.097143,0.211429,-0.346774
price_band,$5M+,Random Forest,175,-4.411351,1841714.188936,2102609.998710,0.293290,0.277198,0.114286,0.274286,-0.292143
price_band,$5M+,CatBoost,175,-4.301882,1782217.903268,2081233.997070,0.283565,0.279481,0.120000,0.365714,-0.277638
